0,773,466,1663918160.556496
1,789,454,1663918160.556496
2,790,453,1663918160.556496
3,791,451,1663918160.556496
4,789,453,1663918160.556496
5,790,450,1663918160.556496
6,790,446,1663918160.556496
7,782,428,1663918160.556496
8,780,424,1663918160.556496
9,757,463,1663918160.556496
10,756,460,1663918160.556496
11,679,407,1663918160.556496
12,690,410,1663918160.556496
13,654,524,1663918160.556496
14,656,539,1663918160.556496
15,749,532,1663918160.556496
16,760,538,1663918160.556496
17,779,536,1663918160.556496
18,784,537,1663918160.556496
19,778,521,1663918160.556496
20,782,524,1663918160.556496
21,767,517,1663918160.556496
22,773,521,1663918160.556496
23,464,442,1663918160.556496
24,469,456,1663918160.556496
25,281,476,1663918160.556496
26,282,488,1663918160.556496
27,101,466,1663918160.556496
28,89,475,1663918160.556496
29,64,452,1663918160.556496
30,56,459,1663918160.556496
31,89,540,1663918160.556496
32,78,549,1663918160.556496
